"Post text","Comments","Reposts","Likes","Bookmarks","Views","Date and time","Handle @...","URL"
"Remember: There is a human behind every X account. If you want to really grow, treat them as such. They are not just numbers on a screen.","56","10","111","2","2352","2026-06-10T10:50:58.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064661594034864350"
"Stop letting X tell you how to live. You’re not lazy for waking up after 6am. You’re not a slave for working a 9-5. You’re not a loser for watching Netflix. Live your life. Just do the work first.","56","10","140","7","3737","2026-06-10T10:37:11.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064658125517435230"
"Once money starts flowing, don’t spend it. Invest in yourself first: 1. Books for knowledge 2. Courses for new skills 3. A mentor or coach 4. A savings plan This is how discipline compounds over time.","42","14","111","10","1978","2026-06-10T10:17:19.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064653128461328425"
"We live in some of the best times in history. Anybody can pick up a phone. Decide where to post content. And within 3-5 years because wealthy. If you’re not taking advantage.. I feel sorry.","42","4","85","5","2842","2026-06-10T09:56:17.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064647832108228983"
"people spend their 20s jumping from one trend to the next. Hoping to hit the jackpot. Trying to get rich quickly. If you spent those 10 years learning one thing, you'd be world class at it. And you’d be rich as a result.","47","8","87","2","1791","2026-06-10T09:21:10.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064638997469479150"
"My mentor once said: “If it takes 5 minutes and you have 5 minutes, do it now.” This has helped me scale FAST. The speed of the action is the speed of the business.","68","10","128","9","1934","2026-06-10T09:06:53.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064635400048570791"
"Financial freedom is a mental health upgrade.","39","7","74","4","1336","2026-06-10T08:52:35.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064631804930220189"
"Can you make $1 million today? No right? What about in 10 years? You give up after 6-7 posts. Goals aren’t your problem, your timeframe is.","34","9","66","0","1403","2026-06-10T08:29:54.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064626094913769904"
"Nobody is coming to save you Nobody is coming to save you Nobody is coming to save you Nobody is coming to save you Nobody is coming to save you Nobody is coming to save you","104","51","269","10","7536","2026-06-10T07:32:26.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064611633482096735"
"Engaging is just organic marketing and distributing if you think about. The more you do it, the more it helps you. Stop scrolling and start meeting new people.","87","3","112","4","2042","2026-06-10T06:14:10.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064591936816631935"
"99% of my money is made in the DMs. Don’t over complicate it. Just Talk to more strangers. Eventually someone will say yes.","89","9","161","7","4500","2026-06-10T05:27:11.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064580112868139374"
"BABY IM DANGEROUS! Now available. Free to listen: https:// suno.com/s/Vbpd2IYC2MqC xTAC …","9","1","23","1","874","2026-06-10T05:01:37.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064573680110178724"
"Your X mastery growth system: https:// stan.store/KevinSzabo14/p /x-mastery-system-grow-monetise--scale-on-x …￼","0","0","3","0","421","2026-06-10T03:26:56.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064549852474728789"
"Keep going. Your content is working even if it’s not going viral. Trust the process.","66","8","107","3","1715","2026-06-10T03:25:44.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064549548429570539"
"Sleep isn’t real for entrepreneurs. It’s a myth and legend. Doesn’t exist. We don’t need it intentionally though.","53","7","119","6","2686","2026-06-10T02:21:24.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064533356792905826"
"Your X mastery growth system: https:// stan.store/KevinSzabo14/p /x-mastery-system-grow-monetise--scale-on-x …￼","0","0","4","1","471","2026-06-09T23:10:02.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064485200373981322"
"The goal is not about waking up at 5AM. It's about waking up when you want. Take back your time and strive for freedom.","50","6","109","4","2329","2026-06-09T23:09:36.000Z","'@KevinSzabo14","https://x.com/KevinSzabo14/status/2064485091145924994"
